; PERSON  C:\Users\anthony_raborn\OneDrive - National Association of Boards of Pharmacy\an  Dec  9 2023  0:20
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
     1   .6195  1   200.0    120.0  .1845    .97   -.26    .97   -.16  .0000    .63   1.00  80.0  79.8   .62   .38   .6197 0001
     2   .3125  1   200.0    111.0  .1849   1.02    .24   1.08    .63  .0000    .62   1.00  81.0  80.9   .64   .39   .3128 0002
     3  -.5444  1   200.0     86.0  .1848   1.00    .05    .99   -.04  .0000    .63   1.00  79.5  80.5   .63   .38  -.5446 0003
     4  -.6808  1   200.0     82.0  .1846    .94   -.57    .82  -1.26  .0000    .66   1.00  81.5  80.0   .62   .37  -.6811 0004
     5  1.6570  1   200.0    150.0  .1908   1.12   1.51   1.35   1.29  .0000    .43   1.00  79.5  77.4   .51   .39  1.6536 0005
     6  1.9191  1   200.0    157.0  .1966    .98   -.25    .67  -1.13  .0000    .50   1.00  79.0  79.5   .47   .36  1.9139 0006
     7   .7896  1   200.0    125.0  .1844   1.04    .48   1.10    .62  .0000    .58   1.00  77.0  79.1   .61   .39   .7895 0007
     8  -.7149  1   200.0     81.0  .1846   1.12   1.14   1.22   1.39  .0000    .56   1.00  78.0  79.8   .62   .40  -.7151 0008
     9  -.4760  1   200.0     88.0  .1849   1.05    .53   1.00    .06  .0000    .62   1.00  79.5  80.8   .63   .39  -.4763 0009
    10  -.1676  1   200.0     97.0  .1853   1.05    .48   1.08    .65  .0000    .62   1.00  81.5  81.4   .64   .39  -.1677 0010
    11  1.6570  1   200.0    150.0  .1908    .97   -.34    .64  -1.49  .0000    .55   1.00  74.5  77.4   .51   .37  1.6536 0011
    12   .3125  1   200.0    111.0  .1849    .91   -.81    .88   -.81  .0000    .68   1.00  83.0  80.9   .64   .36   .3128 0012
    13  1.5132  1   200.0    146.0  .1886   1.00    .09   1.02    .17  .0000    .52   1.00  74.5  77.0   .53   .38  1.5106 0013
    14   .8576  1   200.0    127.0  .1844   1.10   1.09   1.12    .74  .0000    .55   1.00  76.0  78.8   .60   .40   .8574 0014
    15 -1.7523  1   200.0     51.0  .1905    .90  -1.39    .56  -1.94  .0000    .59   1.00  81.5  77.7   .51   .35 -1.7491 0015
    16 -2.0518  1   200.0     43.0  .1970   1.12   1.49   1.54   1.64  .0000    .38   1.00  77.0  79.6   .47   .38 -2.0465 0016
    17  1.1647  1   200.0    136.0  .1853    .86  -1.73    .71  -1.50  .0000    .64   1.00  82.5  77.4   .57   .35  1.1637 0017
    18 -1.0895  1   200.0     70.0  .1847    .97   -.27    .88   -.62  .0000    .61   1.00  78.0  78.1   .59   .38 -1.0891 0018
    19 -2.8537  1   200.0     25.0  .2311   1.02    .23   1.74   1.46  .0000    .32   1.00  87.5  87.5   .36   .31 -2.8397 0019
    20 -1.1578  1   200.0     68.0  .1849   1.00    .07    .94   -.27  .0000    .59   1.00  78.5  77.9   .58   .38 -1.1572 0020
    21  -.2362  1   200.0     95.0  .1852   1.17   1.47   1.20   1.48  .0000    .57   1.00  77.5  81.3   .64   .41  -.2364 0021
    22   .0727  1   200.0    104.0  .1852    .99   -.02    .96   -.23  .0000    .65   1.00  81.0  81.4   .64   .38   .0728 0022
    23  -.0303  1   200.0    101.0  .1853    .92   -.72    .86  -1.05  .0000    .68   1.00  83.5  81.5   .64   .37  -.0303 0023
    24  -.2019  1   200.0     96.0  .1852   1.03    .27   1.02    .20  .0000    .63   1.00  80.0  81.4   .64   .39  -.2020 0024
    25  -.6808  1   200.0     82.0  .1846    .94   -.59    .89   -.73  .0000    .66   1.00  81.5  80.0   .62   .37  -.6811 0025
    26  -.2019  1   200.0     96.0  .1852   1.01    .14   1.04    .38  .0000    .63   1.00  81.0  81.4   .64   .38  -.2020 0026
    27   .2783  1   200.0    110.0  .1850    .79  -2.03    .78  -1.66  .0000    .73   1.00  85.5  81.0   .64   .34   .2786 0027
    28 -1.7523  1   200.0     51.0  .1905   1.03    .37   1.24    .96  .0000    .48   1.00  77.5  77.7   .51   .38 -1.7491 0028
    29  -.7149  1   200.0     81.0  .1846    .87  -1.28    .86   -.90  .0000    .68   1.00  84.0  79.8   .62   .36  -.7151 0029
    30   .0727  1   200.0    104.0  .1852   1.10    .89   1.16   1.19  .0000    .59   1.00  80.0  81.4   .64   .40   .0728 0030
    31  1.0620  1   200.0    133.0  .1848    .91  -1.11    .82   -.90  .0000    .63   1.00  79.5  77.8   .58   .36  1.0613 0031
